re_idx,idx,review,category,polarity
0,348,"Most everything is fine with this machine: speed, capacity, build. The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail. Yes, I have it on the highest available setting.",LAPTOP#GENERAL,positive
0,348,"Most everything is fine with this machine: speed, capacity, build. The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail. Yes, I have it on the highest available setting.",LAPTOP#OPERATION_PERFORMANCE,positive
0,348,"Most everything is fine with this machine: speed, capacity, build. The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail. Yes, I have it on the highest available setting.",HARD_DISC#DESIGN_FEATURES,positive
0,348,"Most everything is fine with this machine: speed, capacity, build. The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail. Yes, I have it on the highest available setting.",LAPTOP#QUALITY,positive
0,348,"Most everything is fine with this machine: speed, capacity, build. The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail. Yes, I have it on the highest available setting.",DISPLAY#QUALITY,negative
1,285,"I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",LAPTOP#DESIGN_FEATURES,positive
1,285,"I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",KEYBOARD#GENERAL,positive
1,285,"I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",LAPTOP#OPERATION_PERFORMANCE,positive
1,285,"I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",LAPTOP#GENERAL,positive
1,285,"I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",LAPTOP#USABILITY,positive
1,285,"I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",LAPTOP#QUALITY,positive
1,285,"I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.",LAPTOP#PRICE,positive
2,337,"I love this product because it is Toshiba and its 15.6"". It has no camera but, I can always buy and install one easy. I had a USB connect but, i can't use it because it is not compatible. That's the downside for me. But, I would recommend this product.",LAPTOP#GENERAL,positive
2,337,"I love this product because it is Toshiba and its 15.6"". It has no camera but, I can always buy and install one easy. I had a USB connect but, i can't use it because it is not compatible. That's the downside for me. But, I would recommend this product.",LAPTOP#DESIGN_FEATURES,positive
2,337,"I love this product because it is Toshiba and its 15.6"". It has no camera but, I can always buy and install one easy. I had a USB connect but, i can't use it because it is not compatible. That's the downside for me. But, I would recommend this product.",COMPANY#GENERAL,positive
2,337,"I love this product because it is Toshiba and its 15.6"". It has no camera but, I can always buy and install one easy. I had a USB connect but, i can't use it because it is not compatible. That's the downside for me. But, I would recommend this product.",LAPTOP#USABILITY,negative
3,54,I bought this laptop Was the worst Laptop I've ever bought. I spent alot of money on this product and its been a nightmare. And having to deal with the company has been a even worse nightmare. I sent it to them to fix in perfect condition but for what was wrong with it. They sent it back with a huge crack in it and it still didn't work. And that was the fourth time ive sent it to them to get fixed. Its been a year and am still waiting to see what there going to do about my laptop. So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,LAPTOP#GENERAL,negative
