re_idx,idx,sentence,category,polarity,target,from,to
0,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",RESTAURANT#GENERAL,negative,place,51,56
1,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",SERVICE#GENERAL,negative,staff,75,80
2,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",SERVICE#GENERAL,negative,NULL,0,0
3,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,FOOD#QUALITY,negative,food,4,8
3,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,FOOD#STYLE_OPTIONS,negative,portions,52,60
4,1004293:4,"After all that, they complained to me about the small tip.",SERVICE#GENERAL,negative,NULL,0,0
5,1004293:5,Avoid this place!,RESTAURANT#GENERAL,negative,place,11,16
6,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",FOOD#QUALITY,positive,food,38,42
7,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,RESTAURANT#GENERAL,positive,Saul,0,4
8,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,FOOD#QUALITY,positive,foie gras terrine with figs,42,69
8,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,FOOD#QUALITY,positive,duck confit,4,15
9,1014458:3,The wine list is interesting and has many good values.,DRINKS#STYLE_OPTIONS,positive,wine list,4,13
9,1014458:3,The wine list is interesting and has many good values.,DRINKS#PRICES,positive,wine list,4,13
10,1014458:4,"For the price, you cannot eat this well in Manhattan.",RESTAURANT#PRICES,positive,NULL,0,0
10,1014458:4,"For the price, you cannot eat this well in Manhattan.",FOOD#QUALITY,positive,NULL,0,0
11,1016296:0,I was very disappointed with this restaurant.,RESTAURANT#GENERAL,negative,restaurant,34,44
12,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,SERVICE#GENERAL,negative,cart attendant,12,26
13,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,SERVICE#GENERAL,negative,NULL,0,0
14,1016296:3,"Food was okay, nothing great.",FOOD#QUALITY,neutral,Food,0,4
15,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,FOOD#QUALITY,negative,Chow fun,0,8
15,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,FOOD#QUALITY,negative,pork shu mai,18,30
15,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,RESTAURANT#MISCELLANEOUS,negative,NULL,0,0
16,1016296:5,I/we will never go back to this place again.,RESTAURANT#GENERAL,negative,place,32,37
17,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",RESTAURANT#GENERAL,positive,Fish,35,39
18,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",SERVICE#GENERAL,positive,Service,0,7
18,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",FOOD#QUALITY,positive,oysters,20,27
18,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",RESTAURANT#PRICES,positive,NULL,0,0
19,1028246:2,You can't go wrong here.,RESTAURANT#GENERAL,positive,NULL,0,0
20,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,RESTAURANT#GENERAL,positive,Restaurant Saul,50,65
21,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",FOOD#QUALITY,positive,NULL,0,0
21,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",SERVICE#GENERAL,positive,service,47,54
21,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",AMBIENCE#GENERAL,positive,decor,73,78
22,1032695:2,I had the duck breast special on my last visit and it was incredible.,FOOD#QUALITY,positive,duck breast special,10,29
23,1032695:3,Can't wait wait for my next visit.,RESTAURANT#GENERAL,positive,NULL,0,0
25,1041457:1,And I hate to say this but I doubt I'll ever go back. ,RESTAURANT#GENERAL,negative,NULL,0,0
26,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD#QUALITY,negative,food,4,8
26,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD#QUALITY,negative,Thai fusion stuff,31,48
26,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD#QUALITY,negative,NULL,0,0
27,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,FOOD#QUALITY,positive,Grilled Chicken special with Edamame Puree,46,88
28,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,FOOD#QUALITY,positive,Edamame pureed,16,30
28,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,FOOD#STYLE_OPTIONS,positive,Edamame pureed,16,30
30,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,negative,place,142,147
30,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,positive,decor,4,9
30,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,negative,vent,60,64
33,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",DRINKS#STYLE_OPTIONS,positive,sake list,6,15
33,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",SERVICE#GENERAL,positive,NULL,0,0
34,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",FOOD#QUALITY,positive,spicy tuna roll,4,19
34,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",FOOD#QUALITY,positive,rock shrimp tempura,47,66
35,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,SERVICE#GENERAL,positive,service,74,81
36,1055910:0,we love th pink pony.,RESTAURANT#GENERAL,positive,pink pony,11,20
37,1055910:1,THe perfect spot.,RESTAURANT#GENERAL,positive,spot,12,16
38,1055910:2,Food-awesome.,FOOD#QUALITY,positive,Food,0,4
39,1055910:3,Service- friendly and attentive.,SERVICE#GENERAL,positive,Service,0,7
40,1055910:4,Ambiance- relaxed and stylish.,AMBIENCE#GENERAL,positive,Ambiance,0,8
41,1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",RESTAURANT#GENERAL,positive,place,17,22
44,1058221:2,the food is decent.,FOOD#QUALITY,neutral,food,4,8
45,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",SERVICE#GENERAL,negative,service,18,25
46,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",SERVICE#GENERAL,negative,waiter,106,112
47,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",SERVICE#GENERAL,negative,NULL,0,0
48,1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",RESTAURANT#GENERAL,negative,NULL,0,0
49,1058221:7,the last time i walked by it looked pretty empty. hmmm.,RESTAURANT#MISCELLANEOUS,negative,NULL,0,0
50,1062641:0,This place has got to be the best japanese restaurant in the new york area.,RESTAURANT#GENERAL,positive,place,5,10
51,1062641:1,I had a great experience.,RESTAURANT#GENERAL,positive,NULL,0,0
52,1062641:2,Food is great.,FOOD#QUALITY,positive,Food,0,4
53,1062641:3,Service is top notch.,SERVICE#GENERAL,positive,Service,0,7
54,1062641:4,I have been going back again and again.,RESTAURANT#GENERAL,positive,NULL,0,0
55,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",FOOD#QUALITY,positive,sea urchin,42,52
56,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",FOOD#QUALITY,positive,NULL,0,0
57,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,FOOD#QUALITY,positive,sushi,4,9
57,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,FOOD#STYLE_OPTIONS,positive,sushi,4,9
58,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,FOOD#STYLE_OPTIONS,positive,rice to fish ration,4,23
59,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,FOOD#QUALITY,positive,half price sushi deal,26,47
59,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,FOOD#PRICES,positive,half price sushi deal,26,47
62,1074868:2,Surprisingly nothing could be further from the truth.,RESTAURANT#MISCELLANEOUS,positive,NULL,0,0
63,1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.",RESTAURANT#MISCELLANEOUS,positive,crowd,65,70
64,1074868:4,The food was well prepared and the service impecable.,FOOD#QUALITY,positive,food,4,8
64,1074868:4,The food was well prepared and the service impecable.,SERVICE#GENERAL,positive,service,35,42
65,1074868:5,I'm going back.,RESTAURANT#GENERAL,positive,NULL,0,0
67,1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,AMBIENCE#GENERAL,positive,NULL,0,0
