re_idx,idx,sentence,category,polarity
1,79:1,This computer is absolutely AMAZING!!!,LAPTOP#GENERAL,positive
2,79:2,10 plus hours of battery...,BATTERY#OPERATION_PERFORMANCE,positive
3,79:3,super fast processor and really nice graphics card..,CPU#OPERATION_PERFORMANCE,positive
3,79:3,super fast processor and really nice graphics card..,GRAPHICS#GENERAL,positive
4,79:4,and plenty of storage with 250 gb(though I will upgrade this and the ram..),HARD_DISC#DESIGN_FEATURES,positive
5,79:5,This computer is really fast and I'm shocked as to how easy it is to get used to...,LAPTOP#OPERATION_PERFORMANCE,positive
5,79:5,This computer is really fast and I'm shocked as to how easy it is to get used to...,LAPTOP#USABILITY,positive
6,79:6,I've only had mine a day but I'm already used to it...,LAPTOP#USABILITY,positive
8,79:8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,LAPTOP#PORTABILITY,positive
8,79:8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,CPU#OPERATION_PERFORMANCE,positive
9,10:0,the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#GENERAL,positive
9,10:0,the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#OPERATION_PERFORMANCE,positive
10,10:1,i would really recommend to any person out there to get this laptop cause its really worth it.,LAPTOP#GENERAL,positive
11,10:2,and its really cheap and you wont regret buying it.,LAPTOP#PRICE,positive
11,10:2,and its really cheap and you wont regret buying it.,LAPTOP#GENERAL,positive
13,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#PORTABILITY,positive
13,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#QUALITY,positive
13,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#USABILITY,positive
14,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#DESIGN_FEATURES,positive
14,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#PORTABILITY,positive
14,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#MISCELLANEOUS,positive
15,264:3,I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#MISCELLANEOUS,positive
15,264:3,I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#QUALITY,positive
16,264:4,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",OS#DESIGN_FEATURES,positive
17,24:0,Oh my goodness-I am not a happy camper.,LAPTOP#GENERAL,negative
18,24:1,My HP is very heavy.,LAPTOP#DESIGN_FEATURES,negative
19,24:2,Not easy to carry.,LAPTOP#PORTABILITY,negative
20,24:3,The battery has never worked well.,BATTERY#QUALITY,negative
20,24:3,The battery has never worked well.,BATTERY#OPERATION_PERFORMANCE,negative
21,24:4,The battery gets so HOT it is scary.,BATTERY#QUALITY,negative
22,24:5,"Yet, HP won't do anything about the problem.",SUPPORT#QUALITY,negative
23,24:6,I returned the computer to HP and they kept it for 3 months.,SUPPORT#QUALITY,negative
24,24:7,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,SUPPORT#QUALITY,negative
25,24:8,"So, you can imagine how unhappy I am with this item.",LAPTOP#GENERAL,negative
26,24:9,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,LAPTOP#QUALITY,negative
28,24:11,"Well, they don't care a bunch.",SUPPORT#QUALITY,negative
29,24:12,"But, at the same time they (the company) would not and could not do anything about my problem.",SUPPORT#QUALITY,negative
30,24:13,I would  say if you want to buy one of these machines be careful.,LAPTOP#GENERAL,negative
31,24:14,"And, if you are going to deal with HP be careful.",COMPANY#GENERAL,negative
32,24:15,"In my house, HP is a nasty word.",COMPANY#GENERAL,negative
33,277:0,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",LAPTOP#GENERAL,positive
34,277:1,The netbook is easier for me to take to bed and carry around with me.,LAPTOP#PORTABILITY,positive
35,277:2,"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#USABILITY,neutral
35,277:2,"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#DESIGN_FEATURES,neutral
36,277:3,I have not have any problems.,LAPTOP#GENERAL,positive
37,178:0,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",LAPTOP#GENERAL,positive
38,178:1,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,LAPTOP#QUALITY,positive
39,178:2,Its still going.,LAPTOP#QUALITY,positive
40,178:3,It is in the best condition and has a really high quality.,LAPTOP#QUALITY,positive
41,178:4,This is something i would deffinately reccomend to someone.,LAPTOP#GENERAL,positive
42,178:5,You will not regret buying such a great thing like this!,LAPTOP#GENERAL,positive
43,178:6,It can't get any better.,LAPTOP#GENERAL,positive
44,77:0,"Waited on getting this computer, but it has been a great change.",LAPTOP#GENERAL,positive
45,77:1,Ease of use is just one of the benefits I love about my Mac.,LAPTOP#USABILITY,positive
46,342:0,This laptop meets every expectation and Windows 7 is great!,LAPTOP#GENERAL,positive
46,342:0,This laptop meets every expectation and Windows 7 is great!,OS#GENERAL,positive
47,342:1,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#OPERATION_PERFORMANCE,positive
47,342:1,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#USABILITY,positive
47,342:1,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#CONNECTIVITY,positive
48,342:2,It's even easy to hook up to other wireless networks.,LAPTOP#CONNECTIVITY,positive
49,342:3,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,BATTERY#OPERATION_PERFORMANCE,neutral
50,342:4,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,BATTERY#OPERATION_PERFORMANCE,positive
51,348:0,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#GENERAL,positive
51,348:0,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#OPERATION_PERFORMANCE,positive
51,348:0,"Most everything is fine with this machine: speed, capacity, build.",HARD_DISC#DESIGN_FEATURES,positive
51,348:0,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#QUALITY,positive
52,348:1,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",DISPLAY#QUALITY,negative
54,347:0,I bought it for really cheap also and it's AMAZING.,LAPTOP#PRICE,positive
54,347:0,I bought it for really cheap also and it's AMAZING.,LAPTOP#GENERAL,positive
56,347:2,Recommended to people as their first laptop.,LAPTOP#MISCELLANEOUS,positive
57,339:0,"Plain and simple, it(laptop) runs great and loads fast.",LAPTOP#OPERATION_PERFORMANCE,positive
58,339:1,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#PORTABILITY,positive
58,339:1,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#CONNECTIVITY,positive
60,273:0,I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#DESIGN_FEATURES,positive
60,273:0,I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#QUALITY,positive
61,273:1,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",OS#USABILITY,neutral
62,273:2,The unibody design is edgy and durable.,LAPTOP#DESIGN_FEATURES,positive
62,273:2,The unibody design is edgy and durable.,LAPTOP#QUALITY,positive
63,273:3,The LED backlit display makes my pictures pop so much more.,DISPLAY#DESIGN_FEATURES,positive
64,273:4,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,MOUSE#DESIGN_FEATURES,positive
64,273:4,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,LAPTOP#USABILITY,positive
66,273:6,A key contributor that led me to Mac is the art aspect.,LAPTOP#DESIGN_FEATURES,positive
67,273:7,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,SOFTWARE#MISCELLANEOUS,positive
68,273:8,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,LAPTOP#GENERAL,positive
68,273:8,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,LAPTOP#OPERATION_PERFORMANCE,positive
69,273:9,It's more expensive but well worth it in the long run.,LAPTOP#PRICE,negative
69,273:9,It's more expensive but well worth it in the long run.,LAPTOP#GENERAL,positive
70,240:0,"Great product, very easy to use and great graphics.",LAPTOP#GENERAL,positive
70,240:0,"Great product, very easy to use and great graphics.",LAPTOP#USABILITY,positive
70,240:0,"Great product, very easy to use and great graphics.",GRAPHICS#GENERAL,positive
71,240:1,"One drawback, I wish the keys were backlit.",KEYBOARD#DESIGN_FEATURES,negative
72,240:2,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#GENERAL,positive
72,240:2,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#PRICE,neutral
73,243:0,It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#DESIGN_FEATURES,positive
73,243:0,It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#OPERATION_PERFORMANCE,positive
74,243:1,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP#DESIGN_FEATURES,neutral
74,243:1,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP#PORTABILITY,positive
75,243:2,I'm very happy with this machine!,LAPTOP#GENERAL,positive
76,285:0,"I love the size, keyboard, the functions.",LAPTOP#DESIGN_FEATURES,positive
76,285:0,"I love the size, keyboard, the functions.",KEYBOARD#GENERAL,positive
76,285:0,"I love the size, keyboard, the functions.",LAPTOP#OPERATION_PERFORMANCE,positive
77,285:1,I don't really have a complaint.,LAPTOP#GENERAL,positive
78,285:2,"It is easy to use, good quality and good price.",LAPTOP#USABILITY,positive
78,285:2,"It is easy to use, good quality and good price.",LAPTOP#QUALITY,positive
78,285:2,"It is easy to use, good quality and good price.",LAPTOP#PRICE,positive
79,285:3,Perfect trifecta!,LAPTOP#GENERAL,positive
80,285:4,I would recommend this product.,LAPTOP#GENERAL,positive
81,212:0,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,SOFTWARE#GENERAL,negative
81,212:0,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,LAPTOP#GENERAL,negative
82,93:0,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,SUPPORT#QUALITY,neutral
84,93:2,The DVD burner broke after burning 3 DVD'd during that time!,OPTICAL_DRIVES#QUALITY,negative
85,93:3,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,SUPPORT#QUALITY,negative
87,93:5,If this is an improvement in Customer Service then I would hate too see what it was before!,SUPPORT#QUALITY,negative
88,93:6,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,SUPPORT#QUALITY,negative
89,93:7,Needless to say I told them No and have a nice day and hung up!,SUPPORT#QUALITY,negative
90,93:8,I can guarantee this will be the last Dell I will ever purchase!,LAPTOP#GENERAL,negative
90,93:8,I can guarantee this will be the last Dell I will ever purchase!,COMPANY#GENERAL,negative
91,93:9,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,LAPTOP#QUALITY,negative
91,93:9,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,SUPPORT#QUALITY,negative
92,93:10,I do not recommend this company or their products!!!!,COMPANY#GENERAL,negative
93,252:0,"So far, a great product.",LAPTOP#GENERAL,positive
94,252:1,"High price tag, however.",LAPTOP#PRICE,negative
95,252:2,Still trying to learn how to use it.,LAPTOP#USABILITY,neutral
96,19:0,it is the worst computer dell ever made.,LAPTOP#GENERAL,negative
97,19:1,it is hard to fix and makes it a hassle to own one.,LAPTOP#QUALITY,negative
97,19:1,it is hard to fix and makes it a hassle to own one.,LAPTOP#GENERAL,negative
98,19:2,breaks easily.,LAPTOP#QUALITY,negative
99,19:3,only good thing is the graphics quality.,GRAPHICS#QUALITY,positive
100,165:0,There are so many wonderful features and benefits to the new MacBook!,LAPTOP#DESIGN_FEATURES,positive
100,165:0,There are so many wonderful features and benefits to the new MacBook!,LAPTOP#GENERAL,positive
102,165:2,No Viruses!,LAPTOP#QUALITY,positive
103,165:3,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP#OPERATION_PERFORMANCE,positive
103,165:3,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP#USABILITY,positive
104,165:4,I am loyal to Apple.,COMPANY#GENERAL,positive
108,165:8,I am very Happy!,LAPTOP#GENERAL,positive
109,111:0,This just keeps having it's hard drive replaced!,HARD_DISC#QUALITY,negative
110,111:1,Acer won't replace the laptop.,SUPPORT#QUALITY,negative
111,111:2,the manufacturer's warranty only covers replacement/repair of parts.,WARRANTY#GENERAL,negative
112,111:3,This thing is a lemon.,LAPTOP#QUALITY,negative
113,292:0,This MacBook is an outstanding product with great value.,LAPTOP#GENERAL,positive
114,292:1,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,LAPTOP#USABILITY,positive
114,292:1,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,SUPPORT#QUALITY,positive
115,292:2,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",BATTERY#OPERATION_PERFORMANCE,positive
115,292:2,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",LAPTOP#OPERATION_PERFORMANCE,positive
116,292:3,It does run a little warm but that is a negligible concern.,LAPTOP#QUALITY,neutral
119,359:2,I have had nothing but problems since the day I took it out of the box!,LAPTOP#GENERAL,negative
119,359:2,I have had nothing but problems since the day I took it out of the box!,LAPTOP#QUALITY,negative
120,359:3,My first problem was with the pre-loaded Norton Firewall/Security program.,SOFTWARE#GENERAL,negative
121,359:4,It would not let me connect to my Wifi system where I lived.,LAPTOP#CONNECTIVITY,negative
122,359:5,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,SUPPORT#QUALITY,negative
123,359:6,"Then just the other day, my left ""mouse"" button snapped!",MOUSE#QUALITY,negative
124,359:7,"Being only 2 months old, I am not a happy camper!",LAPTOP#QUALITY,negative
125,359:8,Buyer Beware.,LAPTOP#GENERAL,negative
126,359:9,"this one, in my opinion, might be a lemon!",LAPTOP#QUALITY,negative
127,95:0,It rarely works and when it does it's incredibly slow.,LAPTOP#QUALITY,negative
127,95:0,It rarely works and when it does it's incredibly slow.,LAPTOP#OPERATION_PERFORMANCE,negative
128,95:1,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,LAPTOP#QUALITY,negative
129,95:2,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",LAPTOP#GENERAL,negative
130,360:0,Like the price and operation.,LAPTOP#PRICE,positive
130,360:0,Like the price and operation.,LAPTOP#OPERATION_PERFORMANCE,positive
131,360:1,"Some features arent friendly ( volume wheel, sound quality, etc.",LAPTOP#USABILITY,negative
131,360:1,"Some features arent friendly ( volume wheel, sound quality, etc.",MULTIMEDIA_DEVICES#USABILITY,negative
131,360:1,"Some features arent friendly ( volume wheel, sound quality, etc.",MULTIMEDIA_DEVICES#QUALITY,negative
132,360:2,"But, for the cost this is a winner.",LAPTOP#GENERAL,positive
132,360:2,"But, for the cost this is a winner.",LAPTOP#PRICE,neutral
133,66:0,I absolutely love my mac!,LAPTOP#GENERAL,positive
134,66:1,I can't imagine my life without it anymore!,LAPTOP#GENERAL,positive
136,384:0,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,LAPTOP#GENERAL,positive
136,384:0,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,PORTS#QUALITY,negative
137,384:1,Apparently they are defective since they are not securely attached.,PORTS#QUALITY,negative
138,384:2,I can barely use any usb devices because they will not stay connected properly.,LAPTOP#CONNECTIVITY,negative
139,384:3,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,SUPPORT#QUALITY,negative
140,384:4,I think I might rather suffer for something that is simple to fix in my opinion.,SUPPORT#QUALITY,negative
141,54:0,I bought this laptop Was the worst Laptop I've ever bought.,LAPTOP#GENERAL,negative
142,54:1,I spent alot of money on this product and its been a nightmare.,LAPTOP#PRICE,negative
142,54:1,I spent alot of money on this product and its been a nightmare.,LAPTOP#GENERAL,negative
143,54:2,And having to deal with the company has been a even worse nightmare.,SUPPORT#QUALITY,negative
145,54:4,They sent it back with a huge crack in it and it still didn't work.,SUPPORT#QUALITY,negative
146,54:5,And that was the fourth time ive sent it to them to get fixed.,SUPPORT#QUALITY,negative
147,54:6,Its been a year and am still waiting to see what there going to do about my laptop.,SUPPORT#QUALITY,negative
148,54:7,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,COMPANY#GENERAL,negative
149,176:0,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,LAPTOP#GENERAL,positive
150,176:1,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",DISPLAY#GENERAL,positive
150,176:1,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",BATTERY#OPERATION_PERFORMANCE,positive
151,176:2,"A little pricey but it is well, well worth it.",LAPTOP#PRICE,negative
151,176:2,"A little pricey but it is well, well worth it.",LAPTOP#GENERAL,positive
153,176:4,It is amazing.,LAPTOP#GENERAL,positive
154,59:0,In the first moth of owning this computer its hardrive failed which had to be replaced.,HARD_DISC#QUALITY,negative
155,59:1,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,BATTERY#QUALITY,negative
155,59:1,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,BATTERY#OPERATION_PERFORMANCE,negative
156,59:2,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,POWER_SUPPLY#QUALITY,negative
156,59:2,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,POWER_SUPPLY#OPERATION_PERFORMANCE,negative
156,59:2,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,HARDWARE#QUALITY,negative
157,59:3,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,LAPTOP#GENERAL,negative
157,59:3,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,LAPTOP#QUALITY,negative
158,170:0,Has a 5-6 hour battery life.,BATTERY#OPERATION_PERFORMANCE,positive
160,170:2,It is easy to use and lightweight.,LAPTOP#USABILITY,positive
160,170:2,It is easy to use and lightweight.,LAPTOP#DESIGN_FEATURES,positive
161,170:3,Was very much worth the price i paid.,LAPTOP#GENERAL,positive
161,170:3,Was very much worth the price i paid.,LAPTOP#PRICE,positive
162,90:0,This netbook went bad on me after 3 days.,LAPTOP#QUALITY,negative
163,90:1,There is a blank lighted screen when I start and that is all.,DISPLAY#OPERATION_PERFORMANCE,negative
166,220:1,"Three weeks after I bought the netbook, the screen quit working.",DISPLAY#QUALITY,negative
166,220:1,"Three weeks after I bought the netbook, the screen quit working.",DISPLAY#OPERATION_PERFORMANCE,negative
167,220:2,I baby my electronics so I know for a fact it was defective and not anything that I did to it.,DISPLAY#QUALITY,negative
168,220:3,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",LAPTOP#QUALITY,negative
168,220:3,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",LAPTOP#OPERATION_PERFORMANCE,negative
168,220:3,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",BATTERY#OPERATION_PERFORMANCE,positive
169,278:0,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#PORTABILITY,positive
169,278:0,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#DESIGN_FEATURES,positive
169,278:0,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#GENERAL,positive
171,135:0,The So called laptop Runs to Slow and I hate it!,LAPTOP#OPERATION_PERFORMANCE,negative
171,135:0,The So called laptop Runs to Slow and I hate it!,LAPTOP#GENERAL,negative
172,135:1,Do not  buy it!,LAPTOP#GENERAL,negative
173,135:2,It is the worst laptop ever,LAPTOP#GENERAL,negative
174,159:0,"The image is great, and the soud is excelent.",DISPLAY#QUALITY,positive
174,159:0,"The image is great, and the soud is excelent.",MULTIMEDIA_DEVICES#QUALITY,positive
175,159:1,i love ths notebook.,LAPTOP#GENERAL,positive
176,57:0,I love the glass touchpad.,MOUSE#DESIGN_FEATURES,positive
177,57:1,Easy learning curve.,LAPTOP#USABILITY,positive
178,57:2,Also the display is exceptional!,DISPLAY#GENERAL,positive
179,76:0,I have loved this since i took it out of the box.,LAPTOP#GENERAL,positive
180,76:1,The battery is really long.,BATTERY#OPERATION_PERFORMANCE,positive
181,76:2,"the features are great, the only thing it needs is better speakers.",LAPTOP#DESIGN_FEATURES,positive
181,76:2,"the features are great, the only thing it needs is better speakers.",MULTIMEDIA_DEVICES#GENERAL,negative
182,28:0,Small and light weight.,LAPTOP#DESIGN_FEATURES,positive
183,28:1,Speakers too small to be of any real use.,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
183,28:1,Speakers too small to be of any real use.,MULTIMEDIA_DEVICES#USABILITY,negative
184,28:2,Keyboard good sized and wasy to use.,KEYBOARD#DESIGN_FEATURES,positive
184,28:2,Keyboard good sized and wasy to use.,KEYBOARD#USABILITY,positive
